module,mode,task number,deliverable number,deliverable extension,deliverable name,deliverable description
py1,pre,0,1,.py,py1_pre_0_1_username.py,Your completed Python code.
py1,team,1,1,.pdf,py1_team_1_1_teamnumber.pdf,The completed team reflection document.
py1,team,1,2,.py,py1_team_1_2_teamnumber.py,The Python code file chosen by the team for submission.
py1,ind,1,1,.pdf,py1_ind_1_1_username.pdf,A PDF of your completed MS Word document with all calculations and answers to the questions.
